"id","query","agent","topic","batch"
"1336","GaussDB规格缩容，实际有多大业务影响","知识Agent","知识问答","第二批"
"1337","GaussDB规格变更，实际有多大业务影响","知识Agent","知识问答","第二批"
"1338","gaussdb磁盘满的根因和优化方案","知识Agent","知识问答","第二批"
"1339","gaussdb 动态内存的计算方法","知识Agent","知识问答","第二批"
"1340","gaussdb备份功能","知识Agent","知识问答","第二批"
"1341","gaussdb如何设置动态脱敏策略参数","知识Agent","知识问答","第二批"
"1342","gaussdb 在线会话率指标的含义","知识Agent","知识问答","第二批"
"1343","GaussDB在线会话率指标的含义","知识Agent","知识问答","第二批"
"1344","gaussdb要用ssl的verify-ca或者verify-full模式的时候, 怎么上传客户端的证书,key","知识Agent","知识问答","第二批"
"1345","verify-full模式下，连接数据库浮动ip连接不上原因","知识Agent","知识问答","第二批"
"1346","gaussdb怎么上传客户端的证书","知识Agent","知识问答","第二批"
"1347","gaussdb中怎么上传客户端的证书","知识Agent","知识问答","第二批"
"1348","gaussdb服务中怎么上传客户端的证书","知识Agent","知识问答","第二批"
"1349","云数据库gaussdb怎么上传客户端的证书","知识Agent","知识问答","第二批"
"1350","gaussdb hce系统安装插件","知识Agent","知识问答","第二批"
"1351","gaussdb hce系统如何安装插件","知识Agent","知识问答","第二批"
"1352","gaussdb如何将单AZ实例改为多AZ实例","知识Agent","知识问答","第二批"
"1353","gaussdb可用区修改","知识Agent","知识问答","第二批"
"1354","gaussdb中repr<+> 代表的是什么意思","知识Agent","知识问答","第二批"
"1355","gaussdb账号解锁","知识Agent","知识问答","第二批"
"1356","GaussDB一主两备、一主一备一日志的高可用能力有什么区别？","知识Agent","知识问答","第二批"
"1357","GaussDB 兼容 mysql5.7","知识Agent","知识问答","第二批"
"1358","Gaussdb的告警基线","知识Agent","知识问答","第二批"
"1359","GaussDB 内存不足如何处理","知识Agent","知识问答","第二批"
"1360","gaussdb内存不足如何处理","知识Agent","知识问答","第二批"
"1361","华为云会议管理平台怎么添加华为Bar310设备，并激活","知识Agent","知识问答","第二批"
"1362","排查处理在哪","知识Agent","知识问答","第二批"
"1363","在线人工","转人工","转人工","第二批"
"1364","请问创建工单后工单的状态有哪几个？","工单管理","知识","第二批"
"1365","MFA在哪里查","知识Agent","知识问答","第二批"
"1366","登录时差个毛线","知识Agent","知识问答","第二批"
"1367","登录时进不了后台查个毛线","知识Agent","知识问答","第二批"
"1368","Error: error creating RDS instance: Bad request with: [POST https://rds.cn-east-3.myhuaweicloud.com/v3/e48283d1afa8442dacc9e00279a91d6f/instances], request_id: f8823c3850e056ffa397f0681701e7b6, error message: {""error_msg"":""Invalid specifications."",""error_code"":""DBS.280239""} │ │ with huaweicloud_rds_instance.myinstance, │ on main.tf line 65, in resource ""huaweicloud_rds_instance"" ""myinstance"": │ 65: resource ""huaweicloud_rds_instance"" ""myinstance"" {","知识Agent","知识问答","第二批"
"1369","已经开通，开始巡检","知识Agent","知识问答","第二批"
"1370","帮我统计上海一地域主机资源","资源管理","资源查询","第二批"
"1371","帮我查下我现在都有哪些资源","资源管理","资源查询","第二批"
"1372","帮我查下主机信息，并导出资源索引表","资源管理","资源查询","第二批"
"1373","帮我查下最近刚创建的资源","资源管理","资源查询","第二批"
"1374","帮我完成主机巡检","知识Agent","知识问答","第二批"
"1375","帮我开始巡检主机","知识Agent","知识问答","第二批"
"1376","数据库客户端无法连接云端服务器","ECS云服务使用","","第二批"
"1377","大数据工作级开发者认证价格是多少","知识Agent","知识问答","第二批"
"1378","华为云企业邮箱可以绑定多个域名使用吗","知识Agent","知识问答","第二批"
"1379","这个绑定的域名数量有限制吗？","知识Agent","知识问答","第二批"
"1380","申请EIP配额","配额管理","配额","第二批"
"1381","这个月账单怎么获取","账单与成本管理","账单查询","第二批"
"1382","OBS +我已经购买了存储套餐和流量套餐，为什么还每天有按需扣费","知识Agent","知识问答","第二批"
"1383","公司网站搜索不到","知识Agent","知识问答","第二批"
"1384","已经解析的华为云国内服务器的","知识Agent","知识问答","第二批"
"1385","hcss_bandwidth_c50b 这条宽带支持修改带宽大小吗","知识Agent","知识问答","第二批"
"1386","带宽限制4Mbit/s 是限制的哪个防线的带宽","知识Agent","知识问答","第二批"
"1387","想问下选择提现是如何选择银行卡","知识Agent","知识问答","第二批"
"1388","原路提现银行卡如何查询","知识Agent","知识问答","第二批"
"1389","提现后提示银行账户不对，如何修改银行账户","知识Agent","知识问答","第二批"
"1390","备案-一个帐号可以为多个主体备案吗","知识Agent","知识问答","第二批"
"1391","https://console.huaweicloud.com/apiexplorer/#/openapi/CloudTest/sdk?api=ShowBranch  这个api不传project_id还是校验项目uuid","知识Agent","知识问答","第二批"
"1392","培训","知识Agent","知识问答","第二批"
"1393","新加坡能访问华北，北京四服务器的IOT吗","知识Agent","知识问答","第二批"
"1394","需要VPN连接吗？","知识Agent","知识问答","第二批"
"1395","确保新加坡的CloudPond或中心云与华为云华北区域（北京四）之间的网络连接是通畅的，这个指的是什么","知识Agent","知识问答","第二批"
"1396","迁移数据","知识Agent","知识问答","第二批"
"1397","没有备案码","知识Agent","知识问答","第二批"
"1398","GaussDB M-compatibility 模式支持JDBC连接操作码？","知识Agent","知识问答","第二批"
"1399","怎么判断 域名能给Gmail邮箱发 邮件","知识Agent","知识问答","第二批"
"1400","咨询两个问题：","知识Agent","知识问答","第二批"
"1401","咨询两个问题： 1.企业项目管理服务的ListEnterpriseProject接口，能否支持查询所有region下的企业项目列表？ 2.弹性云服务器的ListCloudServers接口，能否一次性查询所有projectId、所有region下的云服务器列表？ 我想要查询当前租户所有的云服务器，最佳实践是什么？","知识Agent","知识问答","第二批"
"1402","我想要查询当前租户所有的云服务器，最佳实践是什么？针对这个需求，看下这两种思路：1.企业项目管理服务的ListEnterpriseProject接口，能否支持查询所有region下的企业项目列表？ 2.弹性云服务器的ListCloudServers接口，能否一次性查询所有projectId、所有region下的云服务器列表？","资源管理","资源查询","第二批"
"1403","企业项目管理和IAM里面的项目管理有什么区别？","知识Agent","知识问答","第二批"
"1404","1.94.255.170无法登录","知识Agent","知识问答","第二批"
"1405","华为云提现","知识Agent","知识问答","第二批"
"1406","退订的入口在哪","订单管理","退订","第二批"
"1407","为什么ifconfig不可以","知识Agent","知识问答","第二批"
"1408","使用安装不可以啊","知识Agent","知识问答","第二批"
"1409","cicd流水线部署采用kerbernetes发布，对应deployment.yaml中配置了环境变量，但是不生效，还是使用微服务本身的bootstrap.yml","知识Agent","知识问答","第二批"
"1410","企业项目管理-关于配额","配额管理","知识","第二批"
"1411","eps配额","配额管理","知识","第二批"
"1412","如何开通组织","知识Agent","知识问答","第二批"
"1413","如何关闭组织","知识Agent","知识问答","第二批"
"1414","如何查看自己的账号 是否加入过组织","知识Agent","知识问答","第二批"
"1415","组织下无成员、策略，但无法删除","知识Agent","知识问答","第二批"
"1416","由于我们有几百个子账号，我想通过主账号统一限制某个端口的访问ip，请问组织策略能实现吗？","知识Agent","知识问答","第二批"
"1417","在组织服务中，客户邀请账号，但是没收到邮件","知识Agent","知识问答","第二批"
"1418","在组织Organizations服务中,怎么控制用户不能修改安全组","知识Agent","知识问答","第二批"
"1419","客户邀请账号加入组织，为什么被邀请账号无法接受邀请","知识Agent","知识问答","第二批"
"1420","内部账号 可不可以 在组织中创建账号 ？","知识Agent","知识问答","第二批"
"1421","如何查看 当前账号企业项目配额和企业项目下是否有资源。","知识Agent","知识问答","第二批"
"1422","当前账号企业项目配额和企业项目下是否有资源查看","知识Agent","知识问答","第二批"
"1423","清理RDS备份空间","知识Agent","知识问答","第二批"
"1424","清空自动备份文件","知识Agent","知识问答","第二批"
"1425","服务器即将到期的短信提醒要在哪里配置","知识Agent","知识问答","第二批"
"1426","图形化开发插件的入口在哪","页面导航","知识问答","第二批"
"1427","更改完站点信息后站点链接打不开是什么原因","知识Agent","知识问答","第二批"
"1428","帮我的ecs开机","资源管理","资源开机","第二批"
"1429","DNS解析怎么配置子域名，比如我想把https://rag.ruishucloud.com/ 映射到http://120.46.180.215:8080怎么配置","知识Agent","知识问答","第二批"
"1430","帮我写一个docker-compose.yml直接启动nginx，并挂载好nginx.conf","知识Agent","知识问答","第二批"
"1431","nginx.conf 怎么根据不同的子域名到同一个ip的不同端口","知识Agent","知识问答","第二批"
"1432","生命周期是什么","知识Agent","知识问答","第二批"
"1433","监控告警如何查看？","知识Agent","知识问答","第二批"
"1434","如何验证DNS记录值","知识Agent","知识问答","第二批"
"1435","选了25年4月的订单生成合同，为什么跟4月的账单对不上？","账单与成本管理","账单rag","第二批"
"1436","华为云官网操作界面","页面导航","快捷导航","第二批"
"1437","通知区域显示什么内容？","知识Agent","知识问答","第二批"
"1438","短信不过怎么改","知识Agent","知识问答","第二批"
"1439","华为账号绑定/修改邮箱成功后，为什么系统仍然提示“未绑定邮箱”？","知识Agent","知识问答","第二批"
"1440","域名买了怎么使用啊","知识Agent","知识问答","第二批"
"1441","图像搜索服务套餐到期后，已经上传的图片会被删除吗，保留多久","知识Agent","知识问答","第二批"
"1442","宽限期和保留期内还能使用吗，怎么收费","知识Agent","知识问答","第二批"
"1443","有域名解析健康检查吗？","知识Agent","知识问答","第二批"
"1444","VIS服务如何开通？","知识Agent","知识问答","第二批"
"1445","CSS 的存储策略，OBS归档存储后，在哪里可以看到，是租户的OBS吗，还是哪里","知识Agent","知识问答","第二批"
"1446","查看集群详情接口通过什么字段判断集群是否已完成安全模式切换","知识Agent","知识问答","第二批"
"1447","生命周期和索引模板在不同region 间css 集群的迁移方案","知识Agent","知识问答","第二批"
"1448","CSS的降本方案","账单与成本管理","知识","第二批"
"1449","域名状态为Hold","知识Agent","知识问答","第二批"
"1450","域名状态为Hold怎么解除","知识Agent","知识问答","第二批"
"1451","hss可以防护ddos攻击吗","知识Agent","知识问答","第二批"
"1452","总结LinkX探索视图的功能","知识Agent","知识问答","第二批"
"1453","在哪里查看服务器订单","订单管理","知识","第二批"
"1454","RDS for MySQL与GaussDB(for MySQL)的区别","知识Agent","知识问答","第二批"
"1455","GaussDB支持哪些数据库？","知识Agent","知识问答","第二批"
"1456","GaussDB兼容性如何？","知识Agent","知识问答","第二批"
"1457","合同主体变更","知识Agent","知识问答","第二批"
"1458","Flexus云服务器X实例、Flexus X实例-性能模式、增强型C7云服务器、增强型aC7云服务器 区别在哪里","知识Agent","知识问答","第二批"
"1459","存储资源包有效期多久？","知识Agent","知识问答","第二批"
"1460","咨询发票开具，请转人工服务","转人工","转人工","第二批"
"1461","哪里可以找到 华为云 架构设计中的图标吗","知识Agent","知识问答","第二批"
"1462","""解决方案加速场"" 我找不到这个, 能发个连接吗?","页面导航","知识问答","第二批"
"1463","DRS可以恢复被压缩的sqlserver备份文件吗","知识Agent","知识问答","第二批"
"1464","DWS-ClickHouse迁移到DWS","知识Agent","知识问答","第二批"
"1465","代金券如何查看","活动优惠券","","第二批"
"1466","代金券划拨信息如何拆看","活动优惠券","","第二批"
"1467","我想获取主账号对子账号的代金券划拨记录，应该怎么做？","活动优惠券","","第二批"
"1468","我想通过api接口或者sdk 等方式，自动获取主账号对子账号的代金券划拨记录，应该怎么做？","知识Agent","知识问答","第二批"
"1469","撤销该工单","工单管理","知识","第二批"
"1470","部署deepseek 7b需要什么服务器 一个月多少钱","ECS云服务使用","","第二批"
"1471","8c32g deepseek7b 1s能生成多少token 能支持多少并发","知识Agent","知识问答","第二批"
"1472","Cilium","知识Agent","知识问答","第二批"
"1473","我的VOD储存上限是多少","知识Agent","知识问答","第二批"
"1474","个人网站需要公安备案吗","知识Agent","知识问答","第二批"
"1475","今天云会议咋不能用了","知识Agent","知识问答","第二批"
"1476","帮我转人工客服","转人工","转人工","第二批"
"1477","OBS可以做前端直存不","知识Agent","知识问答","第二批"
"1478","我要看节点的呢","知识Agent","知识问答","第二批"
"1479","统计仓库中代码注释率","知识Agent","知识问答","第二批"
"1480","有哪些工具可以统计注释率？","知识Agent","知识问答","第二批"
"1481","如何自定义统计代码注释率？","知识Agent","知识问答","第二批"
"1482","我之前买的订单  现在有了优惠券 可以退换以前的费用吗","订单管理","退订","第二批"
"1483","关闭已开通的服务","知识Agent","知识问答","第二批"
"1484","网络接入服务商查询","知识Agent","知识问答","第二批"
"1485","公网IP查询","资源管理","知识问答","第二批"
"1486","OBS支持s3协议吗","知识Agent","知识问答","第二批"
"1487","OBS支持哪些协议？","知识Agent","知识问答","第二批"
"1488","流量费如何收取","知识Agent","知识问答","第二批"
"1489","eip流量费如何收取","知识Agent","知识问答","第二批"
"1490","怎么申请域名","知识Agent","知识问答","第二批"
"1491","vpc绑定的sfs怎么删除","资源管理","知识问答","第二批"
"1492","可是sfs里面没东西","知识Agent","知识问答","第二批"
"1493","但是说我vpc绑定了sfs的","知识Agent","知识问答","第二批"
"1494","商标申请入口在哪","页面导航","快捷导航","第二批"
